item_id,channel,data,date_created
fe888817-6789-4cd7-896d-ca72f9e59597,instagram,"{""key"":""7924669a-8596-4b49-a118-4f3aede7c385"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":17,""views"":418,""reach"":187,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":17},""publishedDate"":""2026-01-15T01:00:50.674Z""}",2026-02-11 09:17:58.748000
cb141414-2aeb-4548-b169-63c60f069ddb,linkedin,"{""key"":""49a5afd7-5458-4e03-91fc-b3ee94bc0146"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":28,""shares"":0,""engagement"":0.09615384615384616,""clicks"":1,""likes"":3,""impression"":52,""comments"":1},""publishedDate"":""2026-01-15T01:00:37.824Z""}",2026-02-11 09:17:58.748000
ffdc9451-9e16-4648-90c3-04093b640cd4,pinterest,"{""key"":""71fed8d8-47d4-4c94-a842-9c3cd3a63a48"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":58,""saves"":0,""clicks"":1,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-15T01:01:20.865Z""}",2026-02-11 09:17:58.748000
b2a1ae29-edb6-476c-9c6e-62de58dfb40a,pinterest,"{""key"":""d6801547-384f-4a79-bdfe-131927f3a664"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":0,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-15T15:00:57.459Z""}",2026-02-11 09:17:58.748000
c21c84ee-a465-40f9-b876-3a5dec400d6f,pinterest,"{""key"":""4d1f811b-75b8-4599-9930-7755e8a32316"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":7,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-15T15:01:52.076Z""}",2026-02-11 09:17:58.748000
d5ee6b4c-0d2a-4e30-b32f-bf73b7415bef,instagram,"{""key"":""20156a29-a732-4c07-b859-2bd5f9c69f70"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":7,""views"":290,""reach"":108,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":7},""publishedDate"":""2026-01-15T01:01:22.022Z""}",2026-02-11 09:17:58.748000
aa28b85c-f59a-4c92-a785-fcccf2b3d26f,instagram,"{""key"":""c0326aaf-58ea-4de9-a2a6-8b06ee6f5bfc"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":4,""views"":352,""reach"":119,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":4},""publishedDate"":""2026-01-15T15:03:51.928Z""}",2026-02-11 09:17:58.747000
5f77e780-9858-4ba9-8691-84967c170845,instagram,"{""key"":""56077841-4fe3-42b5-9368-54b0c476f5be"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":3,""views"":381,""reach"":119,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":3},""publishedDate"":""2026-01-15T20:00:23.577Z""}",2026-02-11 09:17:58.747000
f69b68eb-b719-4830-b2b4-6d0b78d1e0a2,facebook,"{""key"":""af5b53c7-e7b3-4ad8-a421-c3f617ba2180"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":2,""love"":1},""activity"":{""like"":3},""impressions"":{""total"":122,""unique"":80}},""publishedDate"":""2026-01-15T20:00:55.700Z""}",2026-02-11 09:17:58.747000
e2447af5-1827-4678-8ba8-d66849feb017,facebook,"{""key"":""5a5df6ec-66d7-4bfb-866a-c8d289ff3e8d"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{},""activity"":{},""impressions"":{""total"":79,""unique"":58}},""publishedDate"":""2026-01-15T15:03:16.860Z""}",2026-02-11 09:17:58.747000
